ProductNo,Price,Quantity,Country
1336,21.47,0.8577718589166101,36
2044,11.53,0.8577718589166101,36
2073,10.65,0.8577718589166101,36
2048,11.94,-0.029023555031065622,36
724,10.65,2.6313626868119617,36
1008,11.53,1.744567272864286,36
1009,12.25,0.8577718589166101,36
1096,10.65,0.8577718589166101,36
1095,10.55,2.6313626868119617,36
1241,11.06,2.040165744180178,36
1297,12.25,0.8577718589166101,36
1503,11.06,2.040165744180178,36
1560,12.25,0.8577718589166101,36
1562,11.53,0.8577718589166101,36
1621,11.53,0.8577718589166101,36
1777,11.06,2.6313626868119617,36
1951,11.06,0.8577718589166101,36
1778,11.06,2.6313626868119617,36
2006,11.74,2.6313626868119617,25
1994,15.32,0.2665749162848263,25
1978,11.53,0.8577718589166101,25
1822,10.68,2.6313626868119617,25
1821,10.68,2.6313626868119617,25
1663,15.32,0.2665749162848263,25
1568,14.09,-0.3246220263469575,25
1566,14.09,0.2665749162848263,25
1565,14.09,0.2665749162848263,25
1564,14.09,-0.3246220263469575,25
1559,14.61,1.4489688015483941,25
1509,11.53,2.6313626868119617,25
1506,12.86,2.6313626868119617,25
1505,12.86,2.6313626868119617,25
1475,12.25,0.8577718589166101,25
1472,15.32,1.4489688015483941,25
1319,12.86,-0.029023555031065622,25
1004,14.61,0.2665749162848263,25
1002,15.32,0.4143741519427723,25
830,11.53,0.8577718589166101,25
621,15.32,-0.029023555031065622,25
594,14.09,0.8577718589166101,25
593,14.61,-0.3246220263469575,25
443,11.74,0.8577718589166101,25
423,14.61,2.6313626868119617,25
383,10.65,2.6313626868119617,25
380,10.65,2.6313626868119617,25
379,10.65,2.6313626868119617,25
375,11.53,0.5621733876007182,25
2916,10.68,1.4489688015483941,25
2877,11.53,2.040165744180178,25
2611,11.53,0.5621733876007182,25
2218,18.6,-0.6202204976628495,25
2217,18.6,-0.6202204976628495,25
2216,18.6,-0.6202204976628495,25
2155,11.53,1.744567272864286,25
2052,15.32,0.8577718589166101,25
2049,14.5,-0.029023555031065622,25
2634,17.51,0.5621733876007182,36
1316,11.06,0.8577718589166101,36
281,11.12,0.8577718589166101,36
280,11.12,0.8577718589166101,36
2212,15.32,0.2665749162848263,36
3114,11.53,0.8577718589166101,36
1311,13.27,-0.029023555031065622,36
1321,11.94,0.8577718589166101,36
1732,11.12,0.8577718589166101,36
3100,11.53,2.6313626868119617,36
2287,11.53,0.8577718589166101,36
2231,11.1,2.040165744180178,36
2314,15.32,0.8577718589166101,36
3137,14.5,-0.3246220263469575,36
3138,14.5,-0.3246220263469575,36
1587,14.09,-0.3246220263469575,36
1937,15.32,-0.3246220263469575,36
1936,15.32,-0.3246220263469575,36
1585,12.4,-0.029023555031065622,36
968,12.4,0.5621733876007182,36
3099,11.53,0.8577718589166101,36
1625,11.53,0.8577718589166101,36
487,10.92,0.8577718589166101,36
1053,17.17,0.2665749162848263,36
1896,14.09,-0.029023555031065622,36
1732,11.12,2.6313626868119617,36
977,13.27,0.5621733876007182,36
2249,15.32,-0.3246220263469575,36
1266,12.38,0.5621733876007182,36
2801,14.61,0.2665749162848263,36
1477,12.4,0.8577718589166101,36
